epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.6475,3.07058,0.05687,0.24171,3.03601,0.000235413,0.000235413,0.000235413
2,67.7205,3.02733,0.1564,0.53081,2.71206,0.000426545,0.000426545,0.000426545
3,102.803,2.77088,0.16588,0.65403,2.23906,0.000570553,0.000570553,0.000570553
4,137.955,2.63709,0.3128,0.78199,1.95675,0.000501942,0.000501942,0.000501942
5,174.385,2.56602,0.20379,0.87204,2.03449,0.000431256,0.000431256,0.000431256
6,211.067,2.44367,0.3981,0.93839,1.72884,0.00036057,0.00036057,0.00036057
7,248.194,2.12533,0.75355,1,1.10365,0.000289884,0.000289884,0.000289884
8,285.301,1.76195,0.79621,1,0.87051,0.000219198,0.000219198,0.000219198
9,323.487,1.53777,0.81991,0.99526,0.67779,0.000148512,0.000148512,0.000148512
10,361.527,1.45558,0.94313,0.99526,0.51172,7.7826e-05,7.7826e-05,7.7826e-05
